id,tiploc,name
1,None,None
2,Unknown,Unknown
3,AACHEN,Aachen
4,ABCWM,Abercwmboi
5,ABDAPEN,Penywaun
6,ABDARE,Aberdare
7,ABDATRE,Trecynon
8,ABDO,Aberdour
9,ABDVY,Aberdovey
10,ABER,Aber
11,ABGLELE,Abergele & Pensarn
12,ABGNWYN,Abergynolwyn
13,ABHLJN,Abbeyhill Jn
14,ABHLTB,Abbeyhill Turnback Sidings
15,ABINCE,Abington C.E.
16,ABINDPL,Abington D.P.L.
17,ABINDS,Abington Down Sidings
18,ABINGTN,Abington
19,ABINUPL,Abington U.P.L.
20,ABNGHST,Abingdon High Street
21,ABNGSTR,Abingdon Stratton Way
22,ABRBEG,Aberbeeg
23,ABRC187,Abercynon Signal A187
24,ABRCJN,Abercynon Junction
25,ABRCYNS,Abercynon
26,ABRD27,Aberdeen Sig A27
27,ABRD75,Aberdeen Signal A75
28,ABRD77,Aberdeen Signal A77
29,ABRDCH,Aberdeen Clayhills Car.M.D
30,ABRDEEN,Aberdeen
31,ABRDFDS,Aberdeen Ferryhill Dn Sdgs
32,ABRDFGL,Aberdeen Ferryhill GL
33,ABRDFJN,Aberdeen Ferryhill Jn
34,ABRDFUS,Aberdeen Ferryhill Up Sdgs
35,ABRDGBR,Aberdeen Guild Street GBRF
36,ABRDNDS,Aberdeen Guild St DRS
37,ABRDNHS,Aberdeen H.S.
38,ABRDNS,Aberdeen North Siding
39,ABRDPDK,Aberdeen Parcels Dock
40,ABRDRSL,Aberdeen Russell J.G.
41,ABRDSVC,Aberdeen Service Co
42,ABRDWAT,Aberdeen Waterloo
43,ABRDWGB,Aberdeen Waterloo (GBRF)
44,ABRE,Abererch
45,ABRFRWD,Aberffrwd
46,ABRGPGN,Penpergwn
47,ABRGS38,Abergavenny Sig 38
48,ABRGUS,Abergavenny Up Sidings
49,ABRGVNY,Abergavenny
50,ABRPGWM,Aberpergwm
51,ABRYAFO,Afon Wen L.C.
52,ABRYRRL,Aberystwyth Run Round Loop
53,ABRYSHE,Aberystwyth Shell Sdgs
54,ABRYSNS,Aberystwyth Stn Sdgs
55,ABRYSTH,Aberystwyth
56,ABTH,Aberthaw
57,ABTH222,Aberthaw Signal AW222
58,ABTH231,Aberthaw Signal AW231
59,ABTH433,Aberthaw Sig CF3433
60,ABTH440,Aberthaw Sig CF3440
61,ABTHA13,Aberthaw Signal A13
62,ABTHA39,Aberthaw Signal A39
63,ABTHLAF,Aberthaw Cement Works
64,ABTHOSD,Aberthaw N.P.Oil Sdg
65,ABTHPS,Aberthaw Power Station
66,ABTHPST,Aberthaw Pwr Stn Fliner Hvy Hl
67,ABTHRCP,Aberthaw Rec Sdgs
68,ABTHWCC,Aberthaw Cement Works - ABTHWCC
69,ABTSWDJ,Abbotswood Jn
70,ABWD,Abbey Wood
71,ACBG,Acton Bridge
72,ACGJN,Acton Grange Jn
73,ACGJNLX,Norton LC (Acton Grange)
74,ACHANLT,Achanalt
75,ACHERES,Acheres
76,ACHHBLC,Balnacra LC
77,ACHHSHL,Achnashellach
78,ACHILCK,Auchinleck
79,ACHLDH,Acheildh
