line_code,source,target,distance_miles
LN804,9102,2918,4.8
LN804,2918,2832,151.44
LN804,2832,2833,0.0
LN804,2833,4229,0.0
LN804,4229,8207,0.0
LN804,8207,8208,0.0
LN804,8208,8205,0.0
LN804,8205,8206,158.4
LN804,8206,6623,158.4
LN804,6623,6082,0.0
LN804,6082,405,0.0
LN804,405,1433,0.0
LN804,1433,1434,0.0
LN804,1434,10209,0.0
LN804,10209,6022,161.7
LN804,6022,7773,161.7
LN804,7773,5974,0.0
LN804,5974,153,164.7
LN804,153,9031,164.7
LN804,9031,880,0.0
LN804,880,3707,0.0
LN804,3707,9463,0.0
LN804,9463,6272,0.0
LN804,6272,6273,0.0
LN804,6273,7434,0.0
LN804,7434,3413,0.0
LN804,3413,3414,0.0
LN804,3414,3417,0.0
LN804,3417,3418,0.0
LN804,3418,6079,0.0
LN804,6079,6078,0.0
LN804,6078,3991,0.0
LN804,3991,6271,0.0
LN828,6054,5142,0.0
LN828,5142,9174,0.0
LN828,9174,153,164.7
LN826,10572,2809,0.0
LN826,2809,2792,0.0
LN826,2792,2791,0.0
LN826,2791,2108,0.0
LN826,2108,2109,18.13
LN826,2109,6053,2.42
LN826,6053,9031,15.71
LN826,9031,11935,0.0
LN836,2796,1424,0.0
LN836,1424,111,0.0
LN836,111,2211,0.0
LN836,2211,112,0.0
LN836,112,8125,0.0
LN836,8125,8348,0.0
LN836,8348,4243,0.0
LN836,4243,3437,0.0
LN836,3437,4118,0.0
LN836,4118,4117,0.0
LN836,4117,7951,0.0
LN836,7951,10059,0.0
LN836,10059,10055,0.0
LN836,10055,10058,0.0
LN836,10058,10357,0.0
LN836,10357,6912,0.0
LN836,6912,2122,0.0
LN836,2122,4474,0.0
LN836,4474,9957,0.0
LN836,9957,5432,0.0
LN836,5432,5429,0.0
LN836,5429,6379,0.0
LN836,6379,6380,0.0
LN836,6380,6533,0.0
LN836,6533,6532,0.0
LN836,6532,6531,0.0
LN836,6531,6528,0.0
LN806,9102,1147,146.64
