Bridge Rank,edge_u,edge_v,u_lon,u_lat,v_lon,v_lat,strike_frequency,Gauge,Total trips,Intact trips,Rerouted trips,Blocked trips,Reroute rate,Blocked rate,Avg detour (mi),Avg delay (min)
1,"(0.1494439, 52.5181803)","(0.1493473, 52.5182492)",0.1494439,52.5181803,0.1493473,52.5182492,62,GAUGE 6,5211,5025,186,0,0.035693724812895795,0.0,0.0004447068179901191,3.053763440860215
1,"(0.1494439, 52.5181803)","(0.1493473, 52.5182492)",0.1494439,52.5181803,0.1493473,52.5182492,62,GAUGE 10,864,864,0,0,0.0,0.0,0.0,0.0
2,"(0.2672658, 52.3913863)","(0.2673574, 52.3914634)",0.2672658,52.3913863,0.2673574,52.3914634,56,GAUGE 6,5211,5190,21,0,0.004029936672423719,0.0,0.6593512784934594,5.9523809523809526
2,"(0.2672658, 52.3913863)","(0.2673574, 52.3914634)",0.2672658,52.3913863,0.2673574,52.3914634,56,GAUGE 10,864,864,0,0,0.0,0.0,0.0,0.0
3,"(1.0588195, 52.1502955)","(1.0589468, 52.1502251)",1.0588195,52.1502955,1.0589468,52.1502251,56,GAUGE 6,5211,5209,2,0,0.00038380349261178274,0.0,0.0,9.0
3,"(1.0588195, 52.1502955)","(1.0589468, 52.1502251)",1.0588195,52.1502955,1.0589468,52.1502251,56,GAUGE 10,864,864,0,0,0.0,0.0,0.0,0.0
4,"(-0.2194869, 51.412713)","(-0.2192921, 51.4128182)",-0.2194869,51.412713,-0.2192921,51.4128182,55,GAUGE 6,5211,5210,1,0,0.00019190174630589137,0.0,0.03517848595487649,6.0
4,"(-0.2194869, 51.412713)","(-0.2192921, 51.4128182)",-0.2194869,51.412713,-0.2192921,51.4128182,55,GAUGE 10,864,864,0,0,0.0,0.0,0.0,0.0
5,"(-1.4028538, 52.5305745)","(-1.4025963, 52.5306182)",-1.4028538,52.5305745,-1.4025963,52.5306182,47,GAUGE 6,5211,5208,3,0,0.0005757052389176742,0.0,0.16825844895882605,0.0
5,"(-1.4028538, 52.5305745)","(-1.4025963, 52.5306182)",-1.4028538,52.5305745,-1.4025963,52.5306182,47,GAUGE 10,864,864,0,0,0.0,0.0,0.0,0.0
6,"(-0.6459618, 52.9089871)","(-0.646445, 52.909574)",-0.6459618,52.9089871,-0.646445,52.909574,47,GAUGE 6,5211,5211,0,0,0.0,0.0,0.0,0.0
6,"(-0.6459618, 52.9089871)","(-0.646445, 52.909574)",-0.6459618,52.9089871,-0.646445,52.909574,47,GAUGE 10,864,864,0,0,0.0,0.0,0.0,0.0
7,"(-1.6411123, 52.3958734)","(-1.6412852, 52.3959279)",-1.6411123,52.3958734,-1.6412852,52.3959279,42,GAUGE 6,5211,5209,2,0,0.00038380349261178274,0.0,7.449336565963245,46.0
7,"(-1.6411123, 52.3958734)","(-1.6412852, 52.3959279)",-1.6411123,52.3958734,-1.6412852,52.3959279,42,GAUGE 10,864,862,0,2,0.0,0.0023148148148148147,0.0,0.0
8,"(0.7427427, 52.419454)","(0.7425315, 52.4194864)",0.7427427,52.419454,0.7425315,52.4194864,42,GAUGE 6,5211,5210,1,0,0.00019190174630589137,0.0,0.020417034839283588,2.0
8,"(0.7427427, 52.419454)","(0.7425315, 52.4194864)",0.7427427,52.419454,0.7425315,52.4194864,42,GAUGE 10,864,864,0,0,0.0,0.0,0.0,0.0
9,"(-0.0380559, 51.4651119)","(-0.0382388, 51.4651103)",-0.0380559,51.4651119,-0.0382388,51.4651103,38,GAUGE 6,5211,5182,29,0,0.00556515064287085,0.0,1.1295074165487293,11.482758620689655
9,"(-0.0380559, 51.4651119)","(-0.0382388, 51.4651103)",-0.0380559,51.4651119,-0.0382388,51.4651103,38,GAUGE 10,864,864,0,0,0.0,0.0,0.0,0.0
10,"(-1.8603927, 51.0851719)","(-1.8601406, 51.0851938)",-1.8603927,51.0851719,-1.8601406,51.0851938,34,GAUGE 6,5211,5209,2,0,0.00038380349261178274,0.0,31.216152807505573,93.5
