Section rank,Number of disrupted edges,Disrupted edges,Flow trains,Gauge,Trips analysed,Intact Trips,Rerouted Trips,Blocked Trips,Avg Detour (mi),Avg Delay (min)
1,3,"[((-0.2504121, 51.525913), (-0.2471227, 51.5260701)), ((-0.2471227, 51.5260701), (-0.2420364, 51.5256158)), ((-0.2420364, 51.5256158), (np.float64(-0.2402322), np.float64(51.525672)))]",474,Gauge 6,5211,4643 (89.1%),568 (10.9%),0 (0.0%),1.52,1.9
1,3,"[((-0.2504121, 51.525913), (-0.2471227, 51.5260701)), ((-0.2471227, 51.5260701), (-0.2420364, 51.5256158)), ((-0.2420364, 51.5256158), (np.float64(-0.2402322), np.float64(51.525672)))]",474,Gauge 10,864,864 (100.0%),0 (0.0%),0 (0.0%),0,0
2,1,"[((-0.3937549, 51.6621272), (-0.2504121, 51.525913))]",449,Gauge 6,5211,4645 (89.1%),566 (10.9%),0 (0.0%),1.26,5.4
2,1,"[((-0.3937549, 51.6621272), (-0.2504121, 51.525913))]",449,Gauge 10,864,864 (100.0%),0 (0.0%),0 (0.0%),0,0
3,1,"[((-2.2191308, 53.4736627), (-2.2185405, 53.4733947))]",395,Gauge 6,5211,5188 (99.6%),23 (0.4%),0 (0.0%),0.00,1.0
3,1,"[((-2.2191308, 53.4736627), (-2.2185405, 53.4733947))]",395,Gauge 10,864,864 (100.0%),0 (0.0%),0 (0.0%),0,0
4,54,"[((-0.6592976, 51.8506239), (-0.6583311, 51.8479323)), ((-0.6593479, 51.8507653), (-0.6592976, 51.8506239)), ((-0.6583311, 51.8479323), (-0.6582323, 51.8476395)), ((-0.66159, 51.857063), (-0.6593479, 51.8507653)), ((-0.6582323, 51.8476395), (-0.6556637, 51.8404842)), ((-0.667826, 51.8745519), (-0.66159, 51.857063)), ((-0.6556637, 51.8404842), (-0.6555781, 51.8402522)), ((-0.6555781, 51.8402522), (-0.6548599, 51.8382612)), ((-0.6548599, 51.8382612), (-0.6545496, 51.8373678)), ((-0.6545496, 51.8373678), (-0.6538096, 51.8353446)), ((-0.6538096, 51.8353446), (-0.6537424, 51.8351528)), ((-0.6537424, 51.8351528), (-0.6248038, 51.8028656)), ((-0.6248038, 51.8028656), (-0.6217799, 51.8001278)), ((-0.6217799, 51.8001278), (-0.5981004, 51.7780418)), ((-0.5981004, 51.7780418), (-0.5979979, 51.7779998)), ((-0.5979979, 51.7779998), (-0.5867641, 51.772306)), ((-0.5867641, 51.772306), (-0.5834187, 51.770309)), ((-0.5834187, 51.770309), (-0.5613426, 51.7632918)), ((-0.5613426, 51.7632918), (-0.561151, 51.7632384)), ((-0.561151, 51.7632384), (-0.5590146, 51.7624655)), ((-0.5590146, 51.7624655), (-0.558855, 51.7624043)), ((-0.558855, 51.7624043), (-0.5137689, 51.747531)), ((-0.5137689, 51.747531), (-0.513627, 51.7474941)), ((-0.513627, 51.7474941), (-0.5080191, 51.7460705)), ((-0.5080191, 51.7460705), (-0.5074677, 51.7459321)), ((-0.5074677, 51.7459321), (-0.4971332, 51.7436276)), ((-0.4971332, 51.7436276), (-0.4967783, 51.74355)), ((-0.4967783, 51.74355), (-0.4935544, 51.7428426)), ((-0.4935544, 51.7428426), (-0.4931238, 51.7427529)), ((-0.4931238, 51.7427529), (-0.4650089, 51.7334921)), ((-0.4650089, 51.7334921), (-0.4613061, 51.7314106)), ((-0.4613061, 51.7314106), (-0.4544843, 51.7273279)), ((-0.4544843, 51.7273279), (-0.4539209, 51.7269966)), ((-0.4539209, 51.7269966), (-0.4501575, 51.7247296)), ((-0.4501575, 51.7247296), (-0.4494977, 51.7243287)), ((-0.4494977, 51.7243287), (-0.447973, 51.723341)), ((-0.447973, 51.723341), (-0.4478115, 51.7232243)), ((-0.4478115, 51.7232243), (-0.4431856, 51.7188578)), ((-0.4431856, 51.7188578), (-0.4430789, 51.7187233)), ((-0.4430789, 51.7187233), (-0.4405254, 51.7143859)), ((-0.4405254, 51.7143859), (-0.4404345, 51.7141608)), ((-0.4404345, 51.7141608), (-0.4390073, 51.7097077)), ((-0.4390073, 51.7097077), (-0.4389731, 51.70959)), ((-0.4389731, 51.70959), (-0.438302, 51.7075995)), ((-0.438302, 51.7075995), (-0.4382693, 51.7075006)), ((-0.4382693, 51.7075006), (-0.4368014, 51.7024722)), ((-0.4368014, 51.7024722), (-0.4367536, 51.7023309)), ((-0.4367536, 51.7023309), (-0.4332818, 51.6938611)), ((-0.4332818, 51.6938611), (-0.4331685, 51.693697)), ((-0.4331685, 51.693697), (-0.4262194, 51.687969)), ((-0.4262194, 51.687969), (-0.4095794, 51.67537)), ((-0.4095794, 51.67537), (-0.3934836, 51.661862)), ((-0.3939264, 51.662151), (-0.3934836, 51.661862)), ((-0.3939264, 51.662151), (-0.3937549, 51.6621272))]",351,Gauge 6,5211,4778 (91.7%),425 (8.2%),8 (0.2%),14.03,41.2
4,54,"[((-0.6592976, 51.8506239), (-0.6583311, 51.8479323)), ((-0.6593479, 51.8507653), (-0.6592976, 51.8506239)), ((-0.6583311, 51.8479323), (-0.6582323, 51.8476395)), ((-0.66159, 51.857063), (-0.6593479, 51.8507653)), ((-0.6582323, 51.8476395), (-0.6556637, 51.8404842)), ((-0.667826, 51.8745519), (-0.66159, 51.857063)), ((-0.6556637, 51.8404842), (-0.6555781, 51.8402522)), ((-0.6555781, 51.8402522), (-0.6548599, 51.8382612)), ((-0.6548599, 51.8382612), (-0.6545496, 51.8373678)), ((-0.6545496, 51.8373678), (-0.6538096, 51.8353446)), ((-0.6538096, 51.8353446), (-0.6537424, 51.8351528)), ((-0.6537424, 51.8351528), (-0.6248038, 51.8028656)), ((-0.6248038, 51.8028656), (-0.6217799, 51.8001278)), ((-0.6217799, 51.8001278), (-0.5981004, 51.7780418)), ((-0.5981004, 51.7780418), (-0.5979979, 51.7779998)), ((-0.5979979, 51.7779998), (-0.5867641, 51.772306)), ((-0.5867641, 51.772306), (-0.5834187, 51.770309)), ((-0.5834187, 51.770309), (-0.5613426, 51.7632918)), ((-0.5613426, 51.7632918), (-0.561151, 51.7632384)), ((-0.561151, 51.7632384), (-0.5590146, 51.7624655)), ((-0.5590146, 51.7624655), (-0.558855, 51.7624043)), ((-0.558855, 51.7624043), (-0.5137689, 51.747531)), ((-0.5137689, 51.747531), (-0.513627, 51.7474941)), ((-0.513627, 51.7474941), (-0.5080191, 51.7460705)), ((-0.5080191, 51.7460705), (-0.5074677, 51.7459321)), ((-0.5074677, 51.7459321), (-0.4971332, 51.7436276)), ((-0.4971332, 51.7436276), (-0.4967783, 51.74355)), ((-0.4967783, 51.74355), (-0.4935544, 51.7428426)), ((-0.4935544, 51.7428426), (-0.4931238, 51.7427529)), ((-0.4931238, 51.7427529), (-0.4650089, 51.7334921)), ((-0.4650089, 51.7334921), (-0.4613061, 51.7314106)), ((-0.4613061, 51.7314106), (-0.4544843, 51.7273279)), ((-0.4544843, 51.7273279), (-0.4539209, 51.7269966)), ((-0.4539209, 51.7269966), (-0.4501575, 51.7247296)), ((-0.4501575, 51.7247296), (-0.4494977, 51.7243287)), ((-0.4494977, 51.7243287), (-0.447973, 51.723341)), ((-0.447973, 51.723341), (-0.4478115, 51.7232243)), ((-0.4478115, 51.7232243), (-0.4431856, 51.7188578)), ((-0.4431856, 51.7188578), (-0.4430789, 51.7187233)), ((-0.4430789, 51.7187233), (-0.4405254, 51.7143859)), ((-0.4405254, 51.7143859), (-0.4404345, 51.7141608)), ((-0.4404345, 51.7141608), (-0.4390073, 51.7097077)), ((-0.4390073, 51.7097077), (-0.4389731, 51.70959)), ((-0.4389731, 51.70959), (-0.438302, 51.7075995)), ((-0.438302, 51.7075995), (-0.4382693, 51.7075006)), ((-0.4382693, 51.7075006), (-0.4368014, 51.7024722)), ((-0.4368014, 51.7024722), (-0.4367536, 51.7023309)), ((-0.4367536, 51.7023309), (-0.4332818, 51.6938611)), ((-0.4332818, 51.6938611), (-0.4331685, 51.693697)), ((-0.4331685, 51.693697), (-0.4262194, 51.687969)), ((-0.4262194, 51.687969), (-0.4095794, 51.67537)), ((-0.4095794, 51.67537), (-0.3934836, 51.661862)), ((-0.3939264, 51.662151), (-0.3934836, 51.661862)), ((-0.3939264, 51.662151), (-0.3937549, 51.6621272))]",351,Gauge 10,864,863 (99.9%),0 (0.0%),1 (0.1%),0,0
5,15,"[((-2.2300135, 53.4760891), (-2.2263409, 53.4761881)), ((-2.230347, 53.4760507), (-2.2300135, 53.4760891)), ((-2.2263409, 53.4761881), (-2.2261071, 53.47616)), ((-2.230547, 53.4760232), (-2.230347, 53.4760507)), ((-2.2261071, 53.47616), (-2.2247763, 53.4757831)), ((-2.2307342, 53.4759882), (-2.230547, 53.4760232)), ((-2.2247763, 53.4757831), (-2.2230089, 53.4751107)), ((-2.2314979, 53.4758161), (-2.2307342, 53.4759882)), ((-2.2230089, 53.4751107), (-2.2227201, 53.4750066)), ((-2.2401529, 53.4738556), (-2.2314979, 53.4758161)), ((-2.2227201, 53.4750066), (-2.2198745, 53.4739393)), ((-2.2405988, 53.4737795), (-2.2401529, 53.4738556)), ((-2.2198745, 53.4739393), (-2.2195999, 53.4738232)), ((-2.2413269, 53.4736977), (-2.2405988, 53.4737795)), ((-2.2195999, 53.4738232), (-2.2191308, 53.4736627))]",346,Gauge 6,5211,5042 (96.8%),169 (3.2%),0 (0.0%),1.07,1.5
5,15,"[((-2.2300135, 53.4760891), (-2.2263409, 53.4761881)), ((-2.230347, 53.4760507), (-2.2300135, 53.4760891)), ((-2.2263409, 53.4761881), (-2.2261071, 53.47616)), ((-2.230547, 53.4760232), (-2.230347, 53.4760507)), ((-2.2261071, 53.47616), (-2.2247763, 53.4757831)), ((-2.2307342, 53.4759882), (-2.230547, 53.4760232)), ((-2.2247763, 53.4757831), (-2.2230089, 53.4751107)), ((-2.2314979, 53.4758161), (-2.2307342, 53.4759882)), ((-2.2230089, 53.4751107), (-2.2227201, 53.4750066)), ((-2.2401529, 53.4738556), (-2.2314979, 53.4758161)), ((-2.2227201, 53.4750066), (-2.2198745, 53.4739393)), ((-2.2405988, 53.4737795), (-2.2401529, 53.4738556)), ((-2.2198745, 53.4739393), (-2.2195999, 53.4738232)), ((-2.2413269, 53.4736977), (-2.2405988, 53.4737795)), ((-2.2195999, 53.4738232), (-2.2191308, 53.4736627))]",346,Gauge 10,864,810 (93.8%),54 (6.2%),0 (0.0%),1.07,2.6
